"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 30 19:20:15 CST 2021","Wed Jun 30 19:20:21 CST 2021","5571","cases","test_user_manage","TestUserManage","","","搜索用户","验证搜索用户功能是否正常"
"failed","Wed Jun 30 19:19:38 CST 2021","Wed Jun 30 19:19:46 CST 2021","7652","cases","test_data_kanban","TestDataKanban","","","数据看板会员数量","验证数据看板会员数量是否与会员列表中的数量一致"
"passed","Wed Jun 30 19:21:02 CST 2021","Wed Jun 30 19:21:12 CST 2021","9753","cases","test_memberlast","TestMemLast","","","新建主动关怀","验证主动关怀新建功能是否正常"
"failed","Wed Jun 30 19:19:54 CST 2021","Wed Jun 30 19:20:02 CST 2021","7432","cases","test_data_kanban","TestDataKanban","","","数据看板工单数量","验证数据看板工单数量是否与呼叫中心工单列表中的数量一致"
"passed","Wed Jun 30 19:19:31 CST 2021","Wed Jun 30 19:19:38 CST 2021","7636","cases","test_data_kanban","TestDataKanban","","","数据看板驿站数量","验证数据看板驿站数量是否与门店管理列表中的数量一致"
"passed","Wed Jun 30 19:19:47 CST 2021","Wed Jun 30 19:19:54 CST 2021","7290","cases","test_data_kanban","TestDataKanban","","","数据看板订单数量","验证数据看板订单数量是否与订单管理列表中的订单数量一致"
"passed","Wed Jun 30 19:21:17 CST 2021","Wed Jun 30 19:21:24 CST 2021","6735","cases","test_memberlast","TestMemLast","","","作废并删除兜底老人","验证兜底老人删除功能是否正常"
"passed","Wed Jun 30 19:20:27 CST 2021","Wed Jun 30 19:20:49 CST 2021","21103","cases","test_memberlast","TestMemLast","","","新建兜底老人","验证兜底老人新建功能是否正常"
"passed","Wed Jun 30 19:19:21 CST 2021","Wed Jun 30 19:19:31 CST 2021","9368","cases","test_data_kanban","TestDataKanban","","","数据看板社区数量","验证数据看板社区数量是否与门店管理列表中的数量一致"
"passed","Wed Jun 30 19:20:21 CST 2021","Wed Jun 30 19:20:27 CST 2021","6507","cases","test_user_manage","TestUserManage","","","删除用户","验证删除用户功能是否正常"
"passed","Wed Jun 30 19:21:12 CST 2021","Wed Jun 30 19:21:17 CST 2021","5591","cases","test_memberlast","TestMemLast","","","删除主动关怀","验证主动关怀删除功能是否正常"
"passed","Wed Jun 30 19:20:57 CST 2021","Wed Jun 30 19:21:02 CST 2021","4820","cases","test_memberlast","TestMemLast","","","删除报平安记录","验证报平安删除功能是否正常"
"passed","Wed Jun 30 19:20:03 CST 2021","Wed Jun 30 19:20:15 CST 2021","12305","cases","test_user_manage","TestUserManage","","","新增用户","验证新建用户功能是否正常"
"passed","Wed Jun 30 19:20:49 CST 2021","Wed Jun 30 19:20:57 CST 2021","8630","cases","test_memberlast","TestMemLast","","","新建报平安","验证报平安新建功能是否正常"
